StockID,TradeVolume,Transaction,TradeValue,Open,Max,Min,Close,Change,date
05711P,75000,3,100600,1.34,1.35,1.34,1.35,0.03,2021-03-24
05712P,253000,11,304280,1.16,1.24,1.16,1.24,0.09,2021-03-24
05713P,276000,21,268270,1.08,1.08,0.94,0.94,0.0,2021-03-24
05714P,201000,9,191260,0.94,0.99,0.94,0.99,0.19,2021-03-24
05715P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
05716P,79000,10,65380,0.86,0.87,0.79,0.79,-0.03,2021-03-24
05717P,10000,1,14000,1.4,1.4,1.4,1.4,0.05,2021-03-24
05718P,155000,10,348620,2.19,2.33,2.19,2.33,0.07,2021-03-24
05719P,5000,3,9390,1.87,1.89,1.87,1.89,0.03,2021-03-24
05720P,520000,8,530840,1.09,1.09,0.99,1.0,0.02,2021-03-24
05721P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
05722P,193000,8,171450,0.85,0.9,0.84,0.9,0.09,2021-03-24
05723P,12000,2,7720,0.61,0.65,0.61,0.65,-0.03,2021-03-24
05724P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
05725P,247000,25,464490,1.95,1.96,1.8,1.84,-0.01,2021-03-24
05726P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
05727P,19000,2,24700,1.3,1.3,1.3,1.3,0.01,2021-03-24
05728P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
05729P,6000,1,7800,1.3,1.3,1.3,1.3,-0.03,2021-03-24
05730P,55000,2,20100,0.37,0.37,0.32,0.32,-0.01,2021-03-24
05731P,2356000,33,2158040,0.93,0.93,0.89,0.93,0.15,2021-03-24
05732P,232000,9,133840,0.62,0.62,0.55,0.55,-0.06,2021-03-24
05733P,209000,17,276440,1.4,1.4,1.29,1.29,-0.08,2021-03-24
05734P,164000,6,301690,1.77,1.86,1.77,1.85,0.1,2021-03-24
05735P,2496000,43,2153090,0.87,0.9,0.83,0.89,0.08,2021-03-24
05736P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
05737P,10000,1,4900,0.49,0.49,0.49,0.49,0.0,2021-03-24
05738P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
05739P,494000,28,624530,1.34,1.34,1.23,1.24,-0.08,2021-03-24
05740P,146000,11,150150,1.06,1.06,0.98,0.98,-0.05,2021-03-24
05741P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
05743P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
05744P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
05745P,40000,3,8150,0.2,0.21,0.2,0.21,0.03,2021-03-24
05746P,387000,20,177300,0.56,0.56,0.41,0.42,-0.19,2021-03-24
05747P,346000,18,58610,0.15,0.21,0.14,0.19,0.05,2021-03-24
05748P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
05749P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
05750P,25000,1,15500,0.62,0.62,0.62,0.62,0.07,2021-03-24
05751P,105000,4,31900,0.3,0.31,0.28,0.31,0.04,2021-03-24
05752P,59000,6,61530,1.03,1.07,1.02,1.07,0.0,2021-03-24
05753P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
05754P,28000,3,24370,0.89,0.89,0.84,0.88,-0.01,2021-03-24
05755P,10000,1,12100,1.21,1.21,1.21,1.21,0.16,2021-03-24
05756P,456000,37,497710,1.04,1.21,1.03,1.21,0.19,2021-03-24
05757P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
05758P,20000,1,13000,0.65,0.65,0.65,0.65,0.08,2021-03-24
05759P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
05760P,42000,4,55210,1.31,1.33,1.3,1.32,0.06,2021-03-24
05761P,37000,3,38550,1.07,1.07,1.03,1.05,0.12,2021-03-24
05762P,260000,3,296400,1.14,1.14,1.14,1.14,0.0,2021-03-24
05763P,937000,62,1307860,1.48,1.48,1.36,1.36,-0.09,2021-03-24
05764P,937000,25,1042360,1.15,1.15,1.03,1.05,-0.06,2021-03-24
05765P,64000,3,21850,0.34,0.35,0.34,0.34,0.0,2021-03-24
05766P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
05767P,93000,7,101920,1.04,1.11,1.04,1.11,0.17,2021-03-24
05768P,113000,12,233770,2.02,2.12,2.01,2.12,0.3,2021-03-24
05769P,23000,2,41610,1.79,1.9,1.79,1.9,0.33,2021-03-24
05770P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
05771P,260000,6,49100,0.16,0.2,0.16,0.19,0.03,2021-03-24
05772P,64000,6,79390,1.24,1.27,1.21,1.27,0.0,2021-03-24
05773P,530000,4,630880,1.19,1.22,1.19,1.22,0.1,2021-03-24
05774P,80000,3,140200,1.76,1.76,1.73,1.73,0.06,2021-03-24
05775P,410000,3,381300,0.93,0.93,0.93,0.93,0.15,2021-03-24
05776P,33000,5,15540,0.48,0.49,0.46,0.47,-0.04,2021-03-24
05777P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
05778P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
05779P,171000,8,192240,1.09,1.15,1.09,1.15,0.05,2021-03-24
05780P,5000,2,5800,1.16,1.16,1.16,1.16,0.0,2021-03-24
05781P,12000,3,20030,1.69,1.69,1.66,1.66,0.0,2021-03-24
05782P,72000,3,40620,0.56,0.57,0.56,0.56,-0.01,2021-03-24
05783P,105000,3,153750,1.47,1.47,1.45,1.47,0.06,2021-03-24
05784P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
05785P,18000,2,5660,0.31,0.32,0.31,0.32,0.01,2021-03-24
05786P,902000,16,481530,0.53,0.55,0.52,0.55,0.06,2021-03-24
05787P,213000,23,184540,0.84,0.9,0.84,0.9,0.08,2021-03-24
05788P,12000,1,13560,1.13,1.13,1.13,1.13,0.0,2021-03-24
05789P,175000,7,365950,2.17,2.17,2.04,2.04,-0.13,2021-03-24
05790P,14000,2,26460,1.91,1.91,1.87,1.87,-0.05,2021-03-24
05791P,1568000,44,391260,0.27,0.32,0.23,0.32,-0.01,2021-03-24
